발표일자,발표시각,자료구분코드,예보지점 X 좌표,예보지점 Y 좌표,실황 값
20250630,1100,강수형태,60,127,0
20250630,1100,습도,60,127,69
20250630,1100,1시간 강수량,60,127,0
20250630,1100,기온,60,127,29.4
20250630,1100,동서바람성분,60,127,0.4
20250630,1100,풍향,60,127,189
20250630,1100,남북바람성분,60,127,2.5
20250630,1100,풍속,60,127,2.5
