2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
#,YYMMDDHHMI,STN,WD,WS,GST,GST,GST,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN,RN,RN,SD,SD,SD,WC,WP,WW,CA,CA,CH,CT,CT,CT,CT,VS,SS,SI,ST,TS,TE,TE,TE,TE,ST,WH,BF,IR,IX
#,KST,ID,16,m/s,WD,WS,TM,hPa,hPa,-,hPa,C,C,%,hPa,mm,DAY,JUN,INT,HR3,DAY,TOT,--,--,----------------------,TOT,MID,MIN,--------,TOP,MID,LOW,GD,C,5,10,20,30,SEA,m,--,-,-
20250701-1600,115,20,4.2,-9,-9.0,-9,987.0,1011.7,-9,-9.0,29.1,23.9,74.0,29.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,0,-9,Ci,1,0,0,4904,1.0,2.19,-9,48.3,30.6,28.2,25.2,21.3,-9,0.5,-9,3,2
20250701-1600,119,23,3.3,-9,-9.0,-9,1007.2,1011.7,-9,-9.0,30.7,24.3,69.0,30.4,-9.0,2.3,2.3,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,6,8,Cu,0,0,2,5000,0.4,1.63,-9,32.8,29.6,28.2,26.3,25.7,-9,-9.0,-9,3,2
20250701-1600,121,27,2.3,-9,-9.0,-9,981.7,1008.3,-9,-9.0,30.2,24.3,71.0,30.4,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,1,10,-,-9,-9,-9,4974,0.3,1.25,-9,37.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
20250701-1600,127,36,1.1,-9,-9.0,-9,998.8,1011.8,-9,-9.0,26.1,24.5,91.0,30.7,3.9,3.9,3.9,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,4,2,-,-9,-9,-9,495,0.0,0.25,-9,29.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
20250701-1600,129,18,5.3,-9,-9.0,-9,1009.6,1012.5,-9,-9.0,29.3,25.8,82.0,33.2,-9.0,0.8,0.8,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,4,4,-,-9,-9,-9,3957,0.5,1.85,-9,34.6,30.3,28.4,26.4,24.7,-9,-9.0,-9,3,-9
20250701-1600,130,20,2.9,-9,-9.0,-9,1005.2,1010.7,-9,-9.0,30.7,23.1,64.0,28.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,6,23,-,-9,-9,-9,4486,0.3,-9.00,-9,39.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
20250701-1600,131,27,2.3,-9,-9.0,-9,1004.7,1011.2,-9,-9.0,34.5,24.1,55.0,30.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,10,Cu,0,0,2,5000,0.8,2.87,-9,43.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
20250701-1600,133,20,4.2,-9,-9.0,-9,1004.7,1012.3,-9,-9.0,30.9,23.5,65.0,28.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,5,9,Cu,0,0,2,5000,0.7,2.28,-9,40.5,37.2,33.3,29.6,28.4,-9,-9.0,-9,3,2
20250701-1600,135,27,3.3,-9,-9.0,-9,984.5,1011.5,-9,-9.0,32.0,23.2,60.0,28.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,3,12,-,-9,-9,-9,4512,0.7,2.13,-9,38.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
20250701-1600,136,27,3.0,-9,-9.0,-9,996.6,1012.2,-9,-9.0,34.1,24.0,56.0,29.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,6,8,CuSc,0,0,8,5000,0.9,2.60,-9,49.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
20250701-1600,137,23,2.1,-9,-9.0,-9,1000.1,1010.8,-9,-9.0,33.0,25.0,63.0,31.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,5,12,-,-9,-9,-9,4969,0.6,1.97,-9,40.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
20250701-1600,138,9,2.6,-9,-9.0,-9,1010.5,1010.9,-9,-9.0,33.6,22.6,53.0,27.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,16,Sc,0,0,5,4241,0.8,2.25,-9,48.1,37.2,34.4,29.5,27.5,-9,0.5,-9,3,2
20250701-1600,140,23,4.3,-9,-9.0,-9,1010.2,1013.3,-9,-9.0,32.2,23.1,59.0,28.3,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,1,76,-,-9,-9,-9,5000,1.0,-9.00,-9,45.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
20250701-1600,143,29,1.9,-9,-9.0,-9,1005.2,1011.2,-9,-9.0,34.6,21.6,47.0,25.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,4,15,ScCi,1,0,5,4870,0.7,2.17,-9,45.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
20250701-1600,146,25,3.6,-9,-9.0,-9,1005.6,1012.3,-9,-9.0,32.8,24.5,62.0,30.7,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,25,82,04,7,7,10,CuSc,0,0,8,4381,0.4,1.64,-9,37.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
20250701-1600,152,20,2.7,-9,-9.0,-9,1001.9,1010.9,-9,-9.0,33.4,23.1,55.0,28.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,1,10,ScCi,1,0,5,3217,0.9,2.17,-9,41.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
20250701-1600,155,18,1.4,-9,-9.0,-9,1008.9,1012.8,-9,-9.0,32.5,24.8,64.0,31.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,2,10,ScCi,1,0,5,5000,1.0,2.78,-9,44.3,-99.0,-99.0,-99.0,-99.0,-9,0.5,-9,3,2
20250701-1600,156,16,2.7,-9,-9.0,-9,1004.9,1012.7,-9,-9.0,32.9,25.1,64.0,31.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,4,12,Sc,0,0,5,4925,0.7,2.13,-9,45.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
20250701-1600,159,20,3.9,-9,-9.0,-9,1005.0,1012.8,-9,-9.0,29.6,25.1,77.0,31.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,0,-9,Ci,1,0,0,2495,1.0,2.63,-9,38.1,32.4,30.0,25.7,24.3,-9,0.5,-9,3,2
20250701-1600,162,25,3.6,-9,-9.0,-9,1009.5,1013.0,-9,-9.0,29.7,22.9,67.0,27.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,1,7,-,-9,-9,-9,3010,1.0,2.54,-9,44.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
20250701-1600,165,27,3.4,-9,-9.0,-9,1008.3,1013.3,-9,-9.0,31.4,26.1,74.0,33.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,8,Sc,0,0,5,5000,0.6,2.26,-9,40.5,29.8,28.6,28.4,26.2,-9,0.5,-9,3,2
20250701-1600,168,25,4.0,-9,-9.0,-9,1006.3,1013.7,-9,-9.0,30.4,25.4,75.0,32.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,0,-9,Ci,1,0,0,3388,1.0,2.65,-9,51.4,37.7,33.1,28.6,27.5,-9,0.5,-9,3,2
