연월일-날짜,관측지점정보,일조(hr),일사(MJ/m2),관측지점지역
20250701-1600,102,0.0,0.88,인천
20250701-1600,108,0.5,1.8,서울
20250701-1600,133,0.7,2.28,대전
20250701-1600,137,0.6,1.97,대구
20250701-1600,156,0.7,2.13,광주
20250701-1600,253,0.9,2.41,부산
